Location,Traffic Volume,Passenger Count,Noise Level,Average Speed,PM2.5 Level,AQI,Day of the Week,Time of the Day
Vasant Kunj,1797.0,7188.0,30.549,31.0,89.85,89.0,Sunday,Morning
Pitampura,1822.0,23686.0,32.796,33.0,72.88,72.0,Monday,Evening
Rohini,2316.0,19953.552766085388,34.74,28.0,138.96,277.0,Sunday,Afternoon
Karol Bagh,3664.0,40304.0,58.624,17.0,256.48,769.0,Sunday,Night
Karol Bagh,1168.0,16352.0,21.024,34.0,46.72,93.0,Thursday,Afternoon
Lajpat Nagar,747.0,11205.0,12.699,37.0,29.88,89.0,Wednesday,Midnight
Lajpat Nagar,2175.0,19953.552766085388,36.975,28.0,130.5,261.0,Saturday,Morning
Connaught Place,2720.0,32640.0,40.8,26.0,190.4,380.0,Sunday,Afternoon
Vasant Kunj,2020.0,4040.0,30.3,28.0,121.2,363.0,Thursday,Evening
Vasant Kunj,3454.0,17270.0,55.264,22.0,241.78,483.0,Friday,Night
Karol Bagh,4577.0,19953.552766085388,68.655,13.0,320.39,640.0,Sunday,Night
Karol Bagh,4611.0,32277.0,82.998,10.0,368.88,737.0,Friday,Evening
Lajpat Nagar,3279.0,19953.552766085388,52.464,23.0,196.74,393.0,Sunday,Night
Vasant Kunj,4569.0,18276.0,77.673,11.0,165.9120510894065,399.59022556390977,Friday,Evening
Karol Bagh,4239.0,63585.0,67.824,14.0,339.12,1017.0,Monday,Night
Mayur Vihar,3808.0,53312.0,41.804,19.0,165.9120510894065,799.0,Monday,Morning
Lajpat Nagar,2831.0,19953.552766085388,48.127,27.0,169.86,509.0,Tuesday,Evening
Rohini,506.0,2024.0,9.108,40.0,25.3,50.0,Thursday,Midnight
Vasant Kunj,4562.0,31934.0,72.992,26.61385840973997,364.96,399.59022556390977,Thursday,Morning
Vasant Kunj,1951.0,7804.0,33.167,32.0,78.04,156.0,Saturday,Afternoon
Saket,955.0,14325.0,15.28,37.0,47.75,143.0,Tuesday,Midnight
Vasant Kunj,1937.0,5811.0,30.992,33.0,116.22,232.0,Thursday,Evening
Karol Bagh,527.0,2108.0,9.486,39.0,26.35,79.0,Thursday,Midnight
Connaught Place,2564.7330928764654,66285.0,75.123,15.0,353.52,399.59022556390977,Friday,Evening
Pitampura,2888.0,31768.0,46.208,25.0,173.28,346.0,Saturday,Afternoon
Rohini,3177.0,41301.0,50.832,22.0,222.39,444.0,Tuesday,Morning
Chandni Chowk,4479.0,31353.0,71.664,15.0,313.53,940.0,Friday,Night
Pitampura,1811.0,16299.0,32.598,31.0,108.66,325.0,Tuesday,Evening
Karol Bagh,4019.0,12057.0,64.304,16.0,321.52,964.0,Thursday,Night
Rohini,3290.0,16450.0,49.35,23.0,230.3,690.0,Wednesday,Night
Pitampura,3998.0,59970.0,67.966,19.0,279.86,839.0,Thursday,Morning
Lajpat Nagar,3903.0,11709.0,58.545,17.0,165.9120510894065,702.0,Saturday,Night
Chandni Chowk,1096.0,12056.0,18.632,34.0,65.76,131.0,Friday,Midnight
Karol Bagh,919.0,5514.0,42.05930812030075,38.0,45.95,45.0,Sunday,Midnight
Connaught Place,1437.0,5748.0,22.992,35.0,86.22,172.0,Friday,Midnight
Connaught Place,613.0,7356.0,9.195,39.0,36.78,110.0,Monday,Afternoon
Saket,4761.0,57132.0,80.937,10.0,380.88,761.0,Thursday,Morning
Karol Bagh,3943.0,3943.0,67.031,18.0,236.58,473.0,Sunday,Night
Dwarka,1083.0,11913.0,17.328,34.0,54.15,162.0,Friday,Afternoon
Dwarka,4539.0,22695.0,72.624,28.0,317.73,953.0,Friday,Night
Rohini,2564.7330928764654,14949.0,20.385,34.0,81.54,163.0,Monday,Afternoon
Pitampura,1221.0,6105.0,42.05930812030075,36.0,61.05,61.0,Friday,Midnight
Pitampura,4619.0,46190.0,78.523,10.0,369.52,1108.0,Tuesday,Morning
Connaught Place,4256.0,17024.0,63.84,16.0,297.92,893.0,Saturday,Night
Vasant Kunj,2888.0,23104.0,49.096,26.0,173.28,346.0,Wednesday,Evening
Vasant Kunj,1245.0,11205.0,42.05930812030075,36.0,49.8,99.0,Thursday,Afternoon
Chandni Chowk,4054.0,16216.0,72.972,16.0,324.32,648.0,Thursday,Morning
Karol Bagh,4938.0,19752.0,83.946,10.0,345.66,1036.0,Friday,Morning
Karol Bagh,2768.0,8304.0,41.804,25.0,193.76,581.0,Sunday,Morning
Lajpat Nagar,3697.0,19953.552766085388,66.546,20.0,258.79,517.0,Friday,Afternoon
Karol Bagh,2981.0,14905.0,44.715,25.0,178.86,357.0,Thursday,Afternoon
Saket,1404.0,5616.0,25.272,36.0,56.16,112.0,Friday,Midnight
Karol Bagh,4114.0,32912.0,65.824,14.0,287.98,863.0,Tuesday,Night
Rohini,1392.0,6960.0,25.056,34.0,83.52,250.0,Wednesday,Afternoon
Dwarka,4427.0,57551.0,66.405,15.0,165.9120510894065,929.0,Wednesday,Morning
Connaught Place,4964.0,15360.0,84.388,10.0,347.48,1042.0,Sunday,Evening
Karol Bagh,4723.0,47230.0,80.291,13.0,330.61,661.0,Sunday,Afternoon
Lajpat Nagar,3519.0,38709.0,59.823,18.0,211.14,422.0,Monday,Night
Karol Bagh,1463.0,2926.0,24.871,35.0,87.78,263.0,Wednesday,Midnight
Rohini,3138.0,21966.0,53.346,24.0,188.28,564.0,Friday,Morning
Pitampura,1882.0,22584.0,30.112,31.0,75.28,75.0,Sunday,Afternoon
Saket,2557.0,13885.0,41.655,27.0,166.62,333.0,Sunday,Morning
Mayur Vihar,702.0,9828.0,11.934,38.0,42.12,42.0,Monday,Afternoon
Lajpat Nagar,4079.0,44869.0,65.264,16.0,285.53,856.0,Thursday,Night
Mayur Vihar,4865.0,43785.0,42.05930812030075,10.0,340.55,681.0,Wednesday,Night
Karol Bagh,2564.7330928764654,10470.0,12.564,38.0,27.92,27.0,Saturday,Midnight
Karol Bagh,933.0,5598.0,13.995,40.0,46.65,46.0,Friday,Afternoon
Karol Bagh,4385.0,61390.0,70.16,14.0,350.8,1052.0,Tuesday,Morning
Karol Bagh,2564.7330928764654,10731.0,64.386,20.0,214.62,351.0,Monday,Afternoon
Karol Bagh,4776.0,4776.0,71.64,26.61385840973997,382.08,1146.0,Friday,Night
Vasant Kunj,3614.0,36140.0,57.824,18.0,252.98,505.0,Monday,Morning
Saket,2564.7330928764654,21615.0,42.05930812030075,14.0,345.84,1037.0,Friday,Evening
Lajpat Nagar,2564.7330928764654,24880.0,49.76,21.0,186.6,351.0,Sunday,Evening
Lajpat Nagar,1329.0,2658.0,21.264,36.0,53.16,53.0,Thursday,Midnight
Pitampura,2564.7330928764654,19953.552766085388,22.806,34.0,76.02,228.0,Wednesday,Afternoon
Pitampura,2328.0,6984.0,39.576,28.0,93.12,186.0,Wednesday,Evening
Chandni Chowk,678.0,6780.0,12.204,26.61385840973997,40.68,122.0,Wednesday,Afternoon
Connaught Place,3134.0,28206.0,53.278,24.0,188.04,376.0,Saturday,Evening
Saket,4882.0,43938.0,73.23,10.0,341.74,1025.0,Monday,Night
Lajpat Nagar,2564.7330928764654,17864.0,20.416,35.0,51.04,102.0,Friday,Afternoon
Vasant Kunj,601.0,3606.0,10.818,38.0,30.05,60.0,Wednesday,Midnight
Chandni Chowk,4576.0,19953.552766085388,73.216,10.0,366.08,1098.0,Saturday,Night
Dwarka,732.0,7320.0,13.176,37.0,43.92,131.0,Tuesday,Midnight
Chandni Chowk,1270.0,11430.0,22.86,35.0,50.8,101.0,Friday,Afternoon
Rohini,4272.0,64080.0,68.352,14.0,299.04,598.0,Thursday,Morning
Mayur Vihar,4398.0,26388.0,70.368,26.61385840973997,307.86,923.0,Thursday,Morning
Mayur Vihar,2550.0,5100.0,40.8,28.0,153.0,459.0,Tuesday,Evening
Dwarka,679.0,5432.0,42.05930812030075,38.0,27.16,81.0,Friday,Midnight
Chandni Chowk,4104.0,57456.0,61.56,16.0,328.32,984.0,Tuesday,Morning
Mayur Vihar,1706.0,8530.0,29.002,32.0,102.36,307.0,Tuesday,Evening
Rohini,1374.0,15114.0,24.732,34.0,54.96,54.0,Monday,Midnight
Karol Bagh,579.0,1158.0,9.843,37.0,28.95,86.0,Sunday,Midnight
Rohini,510.0,2550.0,7.65,37.0,30.6,91.0,Wednesday,Afternoon
Pitampura,1155.0,17325.0,18.48,35.0,57.75,115.0,Wednesday,Midnight
Connaught Place,2851.0,37063.0,48.467,25.0,171.06,513.0,Saturday,Morning
Lajpat Nagar,3555.0,46215.0,63.99,19.0,248.85,746.0,Monday,Morning
Connaught Place,1452.0,19953.552766085388,42.05930812030075,34.0,58.08,58.0,Monday,Midnight
Mayur Vihar,2564.7330928764654,19953.552766085388,17.568,40.0,48.8,146.0,Thursday,Afternoon
Rohini,1304.0,3912.0,23.472,36.0,52.16,104.0,Friday,Midnight
Saket,4631.0,13893.0,74.096,13.0,324.17,972.0,Monday,Morning
Chandni Chowk,3051.0,21357.0,48.816,23.0,213.57,427.0,Wednesday,Morning
Chandni Chowk,2961.0,17766.0,47.376,28.0,177.66,532.0,Sunday,Morning
Rohini,2818.0,19726.0,45.088,28.0,169.08,338.0,Sunday,Afternoon
Rohini,4372.0,19953.552766085388,42.05930812030075,15.0,349.76,399.59022556390977,Friday,Morning
Chandni Chowk,2564.7330928764654,5103.0,8.505,38.0,34.02,399.59022556390977,Thursday,Midnight
Karol Bagh,2240.0,2240.0,38.08,28.0,89.6,179.0,Saturday,Afternoon
Connaught Place,4450.0,13350.0,75.65,16.0,356.0,712.0,Sunday,Evening
Rohini,4704.0,23520.0,79.968,28.0,376.32,752.0,Saturday,Night
Connaught Place,4457.0,4457.0,80.226,16.0,356.56,399.59022556390977,Thursday,Morning
